Position,Predicted Value
0,0.0
50,0.0
100,0.0
150,0.0
200,0.0
250,0.0
300,0.0
350,0.0
400,0.0
450,0.0
500,0.0
550,0.0
600,0.0
650,0.0
700,0.0
750,14.48330020904541
800,0.0
850,0.0
900,0.0
950,0.0
1000,0.0
1050,0.0
1100,0.0
1150,0.0
1200,0.0
1250,0.0
1300,0.0
1350,0.0
1400,0.0
1450,0.0
1500,0.0
1550,0.0
1600,0.0
1650,0.0
1700,0.0
1750,0.0
1800,0.0
1850,0.0
1900,0.0
1950,0.0
2000,0.0
2050,0.0
2100,0.0
2150,0.0
2200,0.0
2250,0.0
2300,0.0
2350,0.0
2400,0.0
2450,0.0
2500,0.0
2550,0.0
2600,4.385300159454346
2650,0.0
2700,0.0
2750,0.0
2800,0.0
2850,0.0
2900,0.0
2950,0.0
3000,0.0
3050,0.0
3100,0.0
3150,1.3293999433517456
3200,0.0
3250,0.0
3300,0.0
3350,0.0
3400,0.0
3450,0.0
3500,0.0
3550,0.0
3600,0.0
3650,0.0
3700,0.0
3750,0.0
3800,0.0
3850,0.0
3900,0.0
3950,0.0
4000,0.0
4050,0.0
4100,0.0
4150,0.0
4200,0.0
4250,2.559999942779541
4300,19.650400161743164
4350,15.235600471496582
4400,0.0
4450,0.0
4500,0.0
4550,0.0
4600,0.0
4650,0.0
4700,0.0
4750,3.881999969482422
4800,0.0
4850,0.0
4900,0.5284000039100647
4950,0.0
5000,0.0
5050,0.0
5100,0.0
5150,0.0
5200,0.0
5250,0.0
5300,0.0
5350,0.0
5400,0.0
5450,0.0
5500,0.0
5550,0.0
5600,0.0
5650,0.0
5700,0.0
5750,0.0
5800,0.0
5850,9.680500030517578
5900,0.0
5950,0.0
6000,0.0
6050,0.0
6100,0.0
6150,0.0
6200,0.0
6250,0.0
6300,0.0
6350,0.0
6400,0.0
6450,0.0
6500,0.0
6550,0.0
6600,0.0
6650,0.0
6700,0.0
6750,0.0
6800,0.0
6850,0.0
6900,0.0
6950,0.0
7000,0.0
7050,0.0
7100,0.0
7150,0.0
7200,0.0
7250,0.0
7300,0.0
7350,3.309799909591675
7400,0.0
7450,0.0
7500,0.0
7550,0.0
7600,0.0
7650,0.0
7700,0.0
7750,0.0
7800,0.0
7850,0.0
7900,0.0
7950,0.0
8000,0.0
8050,0.0
8100,0.0
8150,0.0
8200,0.0
8250,0.0
8300,0.0
8350,0.0
8400,0.0
8450,0.0
8500,0.0
8550,0.0
8600,0.0
8650,0.0
8700,0.0
8750,0.0
8800,0.0
8850,0.0
8900,0.0
8950,0.0
9000,0.0
9050,0.0
9100,0.0
9150,0.0
9200,0.0
9250,0.0
9300,0.0
9350,0.0
9400,0.0
9450,0.0
9500,0.0
9550,0.0
9600,0.0
9650,0.0
9700,0.0
9750,0.0
9800,0.0
9850,0.0
9900,18.223800659179688
9950,0.0
10000,0.0
10050,0.0
10100,0.0
10150,0.0
10200,0.0
10250,0.0
10300,17.2731990814209
10350,21.24650001525879
10400,0.0
10450,0.0
10500,0.0
10550,1.1884000301361084
10600,0.0
10650,0.0
10700,0.0
10750,0.0
10800,0.0
10850,0.0
10900,0.0
10950,0.0
11000,0.0
11050,0.0
11100,0.0
11150,0.0
11200,0.0
11250,0.0
11300,0.0
11350,0.0
11400,0.0
11450,0.0
11500,9.373299598693848
11550,0.0
11600,0.0
11650,0.0
11700,0.0
11750,0.0
11800,0.0
11850,0.0
11900,0.0
11950,0.0
12000,0.0
12050,0.0
12100,0.0
12150,0.0
12200,0.0
12250,0.0
12300,0.0
12350,0.0
12400,0.0
12450,0.0
12500,0.0
12550,0.0
12600,0.0
12650,0.0
12700,0.0
12750,0.0
12800,0.0
12850,0.0
12900,0.0
12950,0.0
13000,0.0
13050,0.0
13100,0.0
13150,0.0
13200,0.0
13250,0.0
13300,0.0
13350,0.0
13400,0.0
13450,0.0
13500,0.0
13550,0.0
13600,0.0
13650,0.0
13700,0.0
13750,0.0
13800,0.0
13850,0.0
13900,0.0
13950,0.0
14000,0.0
14050,0.0
14100,0.0
14150,0.0
14200,0.0
14250,0.0
14300,0.0
14350,0.0
14400,0.0
14450,0.0
14500,0.0
14550,0.0
14600,2.789599895477295
14650,0.0
14700,0.0
14750,0.0
14800,0.0
14850,0.0
14900,0.0
14950,0.0
15000,0.0
15050,0.0
15100,0.0
15150,5.5725998878479
15200,41.527099609375
15250,38.341400146484375
15300,29.11669921875
15350,0.0
15400,0.0
15450,0.0
15500,0.0
15550,0.0
15600,0.0
15650,0.7523999810218811
15700,0.0
15750,0.0
15800,0.0
15850,0.0
15900,1.7834999561309814
15950,9.352800369262695
16000,0.0
16050,0.0
16100,0.0
16150,0.0
16200,0.0
16250,0.0
16300,0.0
16350,0.0
16400,0.0
16450,0.0
16500,0.0
16550,0.0
16600,5.266300201416016
16650,18.078399658203125
16700,31.53260040283203
16750,0.0
16800,0.0
16850,0.0
16900,0.0
16950,0.0
17000,0.0
17050,0.0
17100,0.0
17150,0.0
17200,0.0
17250,0.0
17300,0.0
17350,0.0
17400,0.0
17450,0.0
17500,0.0
17550,0.0
17600,0.0
17650,0.0
17700,0.0
17750,0.0
17800,0.0
17850,0.0
17900,1.2344000339508057
17950,0.0
18000,0.0
18050,0.0
18100,0.0
18150,0.0
18200,8.57759952545166
18250,31.930700302124023
18300,2.17549991607666
18350,0.0
18400,0.0
18450,0.0
18500,0.0
18550,0.0
18600,0.0
18650,23.21150016784668
18700,8.150300025939941
18750,6.93120002746582
18800,27.23150062561035
18850,13.050399780273438
18900,0.0
18950,0.0
19000,0.0
19050,0.0
19100,14.706299781799316
19150,23.385299682617188
19200,4.052499771118164
19250,0.0
19300,0.0
19350,0.0
